Sign_ID,ID,Easting,Northing,Altitude,Retro,Angle,Distance,UTC,Long,Lat
0,28241825,753617.991,3753376.601,294.524,0.059,0.04772,34.838,62621.8954,-84.25758657,33.89028056
0,28241826,753618.015,3753376.571,294.166,0.059,0.03743,34.867,62621.89544,-84.25758632,33.89028028
0,28241899,753618.194,3753376.476,294.526,0.071,0.04762,34.736,62621.90871,-84.25758442,33.89027938
0,28241900,753618.228,3753376.425,294.17,0.067,0.03733,34.788,62621.90874,-84.25758406,33.89027891
0,28241901,753618.179,3753376.539,293.811,0.031,0.02704,34.658,62621.90877,-84.25758456,33.89027995
0,28241902,753618.232,3753376.45,293.454,0.027,0.01675,34.759,62621.90881,-84.25758401,33.89027914
0,28241971,753618.231,3753376.662,294.875,0.059,0.05791,34.294,62621.92199,-84.25758396,33.89028104
0,28241972,753618.245,3753376.649,294.522,0.059,0.04762,34.299,62621.92202,-84.25758381,33.89028093
0,28241973,753618.265,3753376.627,294.17,0.059,0.03733,34.318,62621.92205,-84.25758361,33.89028073
0,28241974,753618.306,3753376.562,293.818,0.071,0.02704,34.389,62621.92208,-84.25758318,33.89028013
0,28241975,753618.283,3753376.623,293.464,0.071,0.01675,34.322,62621.92212,-84.25758341,33.89028069
0,28242044,753618.429,3753376.546,294.883,0.082,0.05801,34.181,62621.9353,-84.25758186,33.89027996
0,28242045,753618.379,3753376.66,294.527,0.063,0.04772,34.044,62621.93533,-84.25758236,33.89028099
0,28242046,753618.413,3753376.61,294.178,0.071,0.03743,34.095,62621.93536,-84.25758201,33.89028053
0,28242047,753618.353,3753376.744,293.826,0.098,0.02714,33.942,62621.93539,-84.25758263,33.89028176
0,28242048,753618.42,3753376.627,293.476,0.082,0.01685,34.075,62621.93543,-84.25758193,33.89028069
0,28242049,753618.349,3753376.783,293.128,0.051,0.00656,33.906,62621.93546,-84.25758265,33.8902821
0,28242116,753618.448,3753376.768,295.215,0.047,0.0682,33.702,62621.94857,-84.25758159,33.89028195
0,28242117,753618.424,3753376.831,294.866,0.086,0.05791,33.619,62621.9486,-84.25758183,33.89028252
0,28242118,753618.491,3753376.714,294.524,0.11,0.04762,33.741,62621.94864,-84.25758114,33.89028145
0,28242119,753618.498,3753376.716,294.176,0.094,0.03733,33.733,62621.94867,-84.25758106,33.89028147
0,28242120,753618.482,3753376.764,293.829,0.098,0.02704,33.677,62621.9487,-84.25758123,33.89028191
0,28242121,753618.523,3753376.699,293.482,0.094,0.01675,33.752,62621.94873,-84.2575808,33.89028131
0,28242122,753618.571,3753376.62,293.134,0.09,0.00645,33.846,62621.94877,-84.2575803,33.89028058
0,28242123,753618.624,3753376.531,292.783,0.055,-0.00384,33.954,62621.9488,-84.25757975,33.89027977
0,28242189,753618.547,3753376.848,295.208,0.059,0.0682,33.369,62621.96188,-84.2575805,33.89028265
0,28242190,753618.568,3753376.821,294.865,0.086,0.05791,33.387,62621.96191,-84.25758027,33.8902824
0,28242191,753618.617,3753376.74,294.524,0.086,0.04762,33.469,62621.96194,-84.25757977,33.89028166
0,28242192,753618.608,3753376.773,294.179,0.106,0.03733,33.426,62621.96198,-84.25757985,33.89028196
0,28242193,753618.622,3753376.762,293.836,0.09,0.02704,33.437,62621.96201,-84.25757971,33.89028185
0,28242194,753618.601,3753376.819,293.492,0.11,0.01675,33.375,62621.96204,-84.25757992,33.89028237
0,28242195,753618.632,3753376.774,293.148,0.078,0.00645,33.43,62621.96207,-84.2575796,33.89028196
0,28242196,753618.694,3753376.668,292.801,0.043,-0.00384,33.558,62621.96211,-84.25757896,33.89028099
0,28242262,753618.631,3753376.957,295.201,0.075,0.0683,33.005,62621.97518,-84.25757956,33.89028361
0,28242263,753618.689,3753376.857,294.866,0.098,0.05801,33.104,62621.97522,-84.25757895,33.8902827
0,28242264,753618.708,3753376.836,294.526,0.141,0.04772,33.119,62621.97525,-84.25757876,33.8902825
0,28242265,753618.712,3753376.844,294.185,0.122,0.03743,33.104,62621.97528,-84.25757872,33.89028257
0,28242266,753618.735,3753376.815,293.845,0.129,0.02714,33.135,62621.97532,-84.25757848,33.8902823
0,28242267,753618.73,3753376.839,293.504,0.114,0.01685,33.109,62621.97535,-84.25757852,33.89028253
0,28242268,753618.737,3753376.841,293.164,0.078,0.00656,33.112,62621.97538,-84.25757845,33.89028254
0,28242269,753618.772,3753376.788,292.821,0.071,-0.00374,33.18,62621.97541,-84.25757809,33.89028205
0,28242334,753618.778,3753376.927,295.534,0.063,0.07849,32.811,62621.98846,-84.25757798,33.89028331
0,28242335,753618.791,3753376.918,295.197,0.11,0.0682,32.806,62621.98849,-84.25757784,33.89028322
0,28242336,753618.773,3753376.968,294.857,0.106,0.05791,32.737,62621.98852,-84.25757802,33.89028368
0,28242337,753618.828,3753376.874,294.523,0.114,0.04762,32.834,62621.98855,-84.25757745,33.89028281
0,28242338,753618.806,3753376.933,294.184,0.141,0.03733,32.762,62621.98859,-84.25757767,33.89028335
0,28242339,753618.834,3753376.894,293.847,0.153,0.02704,32.804,62621.98862,-84.25757738,33.89028299
0,28242340,753618.843,3753376.891,293.51,0.137,0.01675,32.809,62621.98865,-84.25757728,33.89028296
0,28242341,753618.85,3753376.893,293.172,0.11,0.00645,32.811,62621.98868,-84.25757721,33.89028298
0,28242342,753618.861,3753376.886,292.835,0.078,-0.00384,32.828,62621.98872,-84.25757709,33.89028291
0,28242343,753618.873,3753376.878,292.496,0.063,-0.01413,32.849,62621.98875,-84.25757696,33.89028283
0,28242407,753618.931,3753376.902,295.529,0.106,0.07849,32.597,62622.00177,-84.25757633,33.89028304
0,28242408,753618.887,3753377.004,295.187,0.094,0.0682,32.466,62622.0018,-84.25757678,33.89028397
0,28242409,753618.911,3753376.971,294.855,0.137,0.05791,32.491,62622.00183,-84.25757653,33.89028367
0,28242410,753618.943,3753376.923,294.522,0.165,0.04762,32.536,62622.00186,-84.2575762,33.89028323
0,28242411,753618.947,3753376.93,294.187,0.18,0.03733,32.523,62622.0019,-84.25757615,33.89028329
0,28242412,753618.94,3753376.96,293.852,0.157,0.02704,32.487,62622.00193,-84.25757622,33.89028356
0,28242413,753618.936,3753376.983,293.518,0.157,0.01675,32.463,62622.00196,-84.25757626,33.89028377
0,28242414,753618.953,3753376.964,293.184,0.125,0.00645,32.489,62622.00199,-84.25757608,33.89028359
0,28242415,753618.96,3753376.966,292.849,0.082,-0.00384,32.495,62622.00203,-84.257576,33.89028361
0,28242416,753618.934,3753377.032,292.517,0.071,-0.01413,32.433,62622.00206,-84.25757626,33.89028421
