//X Y Z ID Retro Angle Distance UTC Long Lat
740065.8980026 3755816.9009991 324.0929871 4319072.0000000 0.7690000 0.0477200 35.7840004 69349.5234375 -84.4033279 33.9154396
740065.9359970 3755816.9990005 324.0899963 4319170.0000000 0.7730000 0.0476200 35.4879990 69349.5312500 -84.4033279 33.9154434
740065.9329987 3755817.0219994 323.7250061 4319171.0000000 0.7610000 0.0373300 35.4599991 69349.5312500 -84.4033279 33.9154434
740065.9570007 3755817.1070004 324.0910034 4319269.0000000 0.7690000 0.0476200 35.1730003 69349.5468750 -84.4033279 33.9154434
740065.9609985 3755817.1259995 323.7290039 4319270.0000000 0.7690000 0.0373300 35.1529999 69349.5468750 -84.4033279 33.9154434
740065.9779968 3755817.2159996 324.0939941 4319368.0000000 0.7730000 0.0477200 34.8569984 69349.5625000 -84.4033279 33.9154434
740065.9759979 3755817.2390003 323.7349854 4319369.0000000 0.7650000 0.0374300 34.8300018 69349.5625000 -84.4033279 33.9154434
740065.9990005 3755817.3050003 324.4469910 4319466.0000000 0.7730000 0.0579100 34.5680008 69349.5781250 -84.4033203 33.9154434
740066.0189972 3755817.3129997 324.0920105 4319467.0000000 0.7760000 0.0476200 34.5639992 69349.5781250 -84.4033203 33.9154434
740066.0139999 3755817.3369999 323.7359924 4319468.0000000 0.7610000 0.0373300 34.5349998 69349.5781250 -84.4033203 33.9154434
740066.0319977 3755817.4279995 324.0920105 4319566.0000000 0.7690000 0.0476200 34.2379990 69349.5859375 -84.4033203 33.9154472
740066.0309982 3755817.4489994 323.7390137 4319567.0000000 0.7690000 0.0373300 34.2140007 69349.5859375 -84.4033203 33.9154472
740066.0619965 3755817.5310001 324.0950012 4319665.0000000 0.7760000 0.0477200 33.9329987 69349.6015625 -84.4033203 33.9154472
740066.0839996 3755817.5380001 323.7470093 4319666.0000000 0.7690000 0.0374300 33.9350014 69349.6015625 -84.4033203 33.9154472
