//X Y Z ID Retro Angle Distance UTC Long Lat
740065.8980026 3755816.9009991 324.0929871 4319072.0000000 0.7690000 0.0477200 35.7840004 69349.5234375 -84.4033279 33.9154396
740065.9349976 3755816.9860001 322.2550049 4319077.0000000 0.1880000 -0.0037400 35.7420006 69349.5234375 -84.4033279 33.9154434
740065.9169998 3755817.0179996 321.8880005 4319078.0000000 0.1650000 -0.0140300 35.7159996 69349.5234375 -84.4033279 33.9154434
740065.9410019 3755817.0249996 321.5199890 4319079.0000000 0.1730000 -0.0243200 35.7420006 69349.5234375 -84.4033279 33.9154434
740065.9509964 3755817.0400009 321.1520081 4319080.0000000 0.1690000 -0.0346100 35.7550011 69349.5234375 -84.4033279 33.9154434
740065.9410019 3755817.0680008 320.7860107 4319081.0000000 0.1610000 -0.0449000 35.7490005 69349.5234375 -84.4033279 33.9154434
740065.9359970 3755816.9990005 324.0899963 4319170.0000000 0.7730000 0.0476200 35.4879990 69349.5312500 -84.4033279 33.9154434
740065.9329987 3755817.0219994 323.7250061 4319171.0000000 0.7610000 0.0373300 35.4599991 69349.5312500 -84.4033279 33.9154434
740065.9690018 3755817.0639992 322.6319885 4319174.0000000 0.0940000 0.0064500 35.4519997 69349.5312500 -84.4033279 33.9154434
740065.9570007 3755817.1070004 324.0910034 4319269.0000000 0.7690000 0.0476200 35.1730003 69349.5468750 -84.4033279 33.9154434
740065.9609985 3755817.1259995 323.7290039 4319270.0000000 0.7690000 0.0373300 35.1529999 69349.5468750 -84.4033279 33.9154434
740065.9649963 3755817.2029991 324.4530029 4319367.0000000 0.7690000 0.0580100 34.8689995 69349.5625000 -84.4033279 33.9154434
740065.9779968 3755817.2159996 324.0939941 4319368.0000000 0.7730000 0.0477200 34.8569984 69349.5625000 -84.4033279 33.9154434
740065.9759979 3755817.2390003 323.7349854 4319369.0000000 0.7650000 0.0374300 34.8300018 69349.5625000 -84.4033279 33.9154434
740065.9710007 3755817.2630005 323.3770142 4319370.0000000 0.7730000 0.0271400 34.8040009 69349.5625000 -84.4033279 33.9154434
740065.9869995 3755817.2740002 323.0190125 4319371.0000000 0.1140000 0.0168500 34.8059998 69349.5625000 -84.4033203 33.9154434
740065.9990005 3755817.3050003 324.4469910 4319466.0000000 0.7730000 0.0579100 34.5680008 69349.5781250 -84.4033203 33.9154434
740066.0189972 3755817.3129997 324.0920105 4319467.0000000 0.7760000 0.0476200 34.5639992 69349.5781250 -84.4033203 33.9154434
740066.0139999 3755817.3369999 323.7359924 4319468.0000000 0.7610000 0.0373300 34.5349998 69349.5781250 -84.4033203 33.9154434
740066.0059967 3755817.3630009 323.3810120 4319469.0000000 0.7730000 0.0270400 34.5050011 69349.5781250 -84.4033203 33.9154434
740066.0319977 3755817.4069996 324.4450073 4319565.0000000 0.7800000 0.0579100 34.2659988 69349.5859375 -84.4033203 33.9154472
740066.0319977 3755817.4279995 324.0920105 4319566.0000000 0.7690000 0.0476200 34.2379990 69349.5859375 -84.4033203 33.9154472
740066.0309982 3755817.4489994 323.7390137 4319567.0000000 0.7690000 0.0373300 34.2140007 69349.5859375 -84.4033203 33.9154472
740066.0619965 3755817.5310001 324.0950012 4319665.0000000 0.7760000 0.0477200 33.9329987 69349.6015625 -84.4033203 33.9154472
740066.0839996 3755817.5380001 323.7470093 4319666.0000000 0.7690000 0.0374300 33.9350014 69349.6015625 -84.4033203 33.9154472
740066.1250000 3755817.6830006 322.7040100 4319769.0000000 0.1570000 0.0064500 33.5950012 69349.6171875 -84.4033203 33.9154472
740066.1309967 3755817.7000008 322.3590088 4319770.0000000 0.1690000 -0.0038400 33.5919991 69349.6171875 -84.4033203 33.9154472
740066.1679993 3755817.6970005 322.0130005 4319771.0000000 0.1760000 -0.0141300 33.6310005 69349.6171875 -84.4033203 33.9154472
740066.1289978 3755817.7420006 321.6690063 4319772.0000000 0.1800000 -0.0244200 33.5830002 69349.6171875 -84.4033203 33.9154472
740066.1579971 3755817.7450008 321.3229980 4319773.0000000 0.1880000 -0.0347100 33.6180000 69349.6171875 -84.4033203 33.9154472
740066.1529999 3755817.7679996 320.9779968 4319774.0000000 0.1920000 -0.0450000 33.6180000 69349.6171875 -84.4033203 33.9154472
